Year,Round,Abbreviation,Position,GridPosition,Target,log_grid_pos,driver_win_rate,driver_avg_pos,team_avg_pos,driver_recent_avg_pos,driver_wet_avg_pos,track_avg_pos,track_avg_sc_laps,track_rain_prob,grid_team_interaction,driver_hot_form,teammate_diff,pos_gain_avg,Event_encoded,CircuitType_encoded
2019,3,GAS,6,6,0,1.9459101490553132,0.0,9.5,6.5,9.5,20.0,20.0,0.0,0.0,12.648415968859537,9.5,3.0,5.5,10,0
2019,3,RIC,7,7,0,2.0794415416798357,0.0,18.5,15.25,18.5,20.0,20.0,0.0,0.0,31.711483510617494,18.5,3.25,-7.5,10,0
2019,3,PER,8,12,-4,2.5649493574615367,0.0,11.5,11.5,11.5,20.0,20.0,0.0,0.0,29.49691761080767,11.5,0.0,0.5,10,0
2019,3,RAI,9,13,-4,2.6390573296152584,0.0,7.5,10.25,7.5,20.0,20.0,0.0,0.0,27.0503376285564,7.5,-2.75,1.0,10,0
2019,3,ALB,10,0,10,0.0,0.0,11.5,11.25,11.5,20.0,20.0,0.0,0.0,0.0,11.5,0.25,1.0,10,0
2019,3,GRO,11,10,1,2.3978952727983707,0.0,19.0,14.25,19.0,20.0,20.0,0.0,0.0,34.170007637376784,19.0,4.75,-10.5,10,0
2019,3,STR,12,16,-4,2.833213344056216,0.0,11.5,11.5,11.5,20.0,20.0,0.0,0.0,32.58195345664649,11.5,0.0,5.5,10,0
2019,3,MAG,13,9,4,2.302585092994046,0.0,9.5,14.25,9.5,20.0,20.0,0.0,0.0,32.81183757516516,9.5,-4.75,-3.0,10,0
2019,3,SAI,14,14,0,2.70805020110221,0.0,19.5,14.25,19.5,20.0,20.0,0.0,0.0,38.589715365706496,19.5,5.25,-7.0,10,0
2019,3,GIO,15,19,-4,2.995732273553991,0.0,13.0,10.25,13.0,20.0,20.0,0.0,0.0,30.706255803928407,13.0,2.75,2.0,10,0
2019,3,RUS,16,17,-1,2.8903717578961645,0.0,15.5,16.0,15.5,20.0,20.0,0.0,0.0,46.24594812633863,15.5,-0.5,3.5,10,0
2019,3,KUB,17,18,-1,2.9444389791664403,0.0,16.5,16.0,16.5,20.0,20.0,0.0,0.0,47.111023666663044,16.5,0.5,3.5,10,0
2019,3,NOR,18,15,3,2.772588722239781,0.0,9.0,14.25,9.0,20.0,20.0,0.0,0.0,39.50938929191688,9.0,-5.25,-0.5,10,0
2019,3,KVY,19,11,8,2.4849066497880004,0.0,11.0,11.25,11.0,20.0,20.0,0.0,0.0,27.955199810115005,11.0,-0.25,4.0,10,0
2019,3,HUL,20,8,12,2.1972245773362196,0.0,12.0,15.25,12.0,20.0,20.0,0.0,0.0,33.507674804377345,12.0,-3.25,2.0,10,0
2019,4,BOT,1,1,0,0.6931471805599453,0.3333333333333333,1.6666666666666667,1.5,1.6666666666666667,20.0,20.0,0.0,0.0,1.0397207708399179,1.6666666666666667,0.16666666666666666,0.6666666666666666,4,1
2019,4,HAM,2,2,0,1.0986122886681098,0.6666666666666666,1.3333333333333333,1.5,1.3333333333333333,20.0,20.0,0.0,0.0,1.6479184330021646,1.3333333333333333,-0.16666666666666666,0.6666666666666666,4,1
2019,4,VET,3,3,0,1.3862943611198906,0.0,4.0,4.166666666666667,4.0,20.0,20.0,0.0,0.0,5.776226504666211,4.0,-0.16666666666666666,-1.3333333333333333,4,1
2019,4,VER,4,4,0,1.6094379124341003,0.0,3.6666666666666665,6.0,3.6666666666666665,20.0,20.0,0.0,0.0,9.656627474604601,3.6666666666666665,-2.3333333333333335,1.0,4,1
2019,4,LEC,5,8,-3,2.1972245773362196,0.0,4.333333333333333,4.166666666666667,4.333333333333333,20.0,20.0,0.0,0.0,9.155102405567582,4.333333333333333,0.16666666666666666,-1.0,4,1
2019,4,PER,6,5,1,1.791759469228055,0.0,10.333333333333334,11.0,10.333333333333334,20.0,20.0,0.0,0.0,19.709354161508603,10.333333333333334,-0.6666666666666666,1.6666666666666667,4,1
2019,4,SAI,7,9,-2,2.302585092994046,0.0,17.666666666666668,14.833333333333334,17.666666666666668,20.0,20.0,0.0,0.0,34.155012212745014,17.666666666666668,2.8333333333333335,-4.666666666666667,4,1
2019,4,NOR,8,7,1,2.0794415416798357,0.0,12.0,14.833333333333334,12.0,20.0,20.0,0.0,0.0,30.845049534917564,12.0,-2.8333333333333335,-1.3333333333333333,4,1
2019,4,STR,9,13,-4,2.6390573296152584,0.0,11.666666666666666,11.0,11.666666666666666,20.0,20.0,0.0,0.0,29.029630625767844,11.666666666666666,0.6666666666666666,5.0,4,1
2019,4,RAI,10,0,10,0.0,0.0,8.0,10.833333333333334,8.0,20.0,20.0,0.0,0.0,0.0,8.0,-2.8333333333333335,2.0,4,1
2019,4,ALB,11,11,0,2.4849066497880004,0.0,11.0,12.333333333333334,11.0,20.0,20.0,0.0,0.0,30.647182014052007,11.0,-1.3333333333333333,-2.6666666666666665,4,1
2019,4,GIO,12,17,-5,2.8903717578961645,0.0,13.666666666666666,10.833333333333334,13.666666666666666,20.0,20.0,0.0,0.0,31.312360710541785,13.666666666666666,2.8333333333333335,2.6666666666666665,4,1
2019,4,MAG,13,12,1,2.5649493574615367,0.0,10.666666666666666,13.5,10.666666666666666,20.0,20.0,0.0,0.0,34.62681632573074,10.666666666666666,-2.8333333333333335,-3.3333333333333335,4,1
2019,4,HUL,14,15,-1,2.772588722239781,0.0,14.666666666666666,14.666666666666666,14.666666666666666,20.0,20.0,0.0,0.0,40.66463459285012,14.666666666666666,0.0,-2.6666666666666665,4,1
2019,4,RUS,15,16,-1,2.833213344056216,0.0,15.666666666666666,16.166666666666668,15.666666666666666,20.0,20.0,0.0,0.0,45.80361572890883,15.666666666666666,-0.5,2.6666666666666665,4,1
2019,4,KUB,16,0,16,0.0,0.0,16.666666666666668,16.166666666666668,16.666666666666668,20.0,20.0,0.0,0.0,0.0,16.666666666666668,0.5,2.6666666666666665,4,1
2019,4,GAS,17,0,17,0.0,0.0,8.333333333333334,6.0,8.333333333333334,20.0,20.0,0.0,0.0,0.0,8.333333333333334,2.3333333333333335,3.6666666666666665,4,1
2019,4,GRO,18,14,4,2.70805020110221,0.0,16.333333333333332,13.5,16.333333333333332,20.0,20.0,0.0,0.0,36.558677714879835,16.333333333333332,2.8333333333333335,-7.333333333333333,4,1
2019,4,KVY,19,6,13,1.9459101490553132,0.0,13.666666666666666,12.333333333333334,13.666666666666666,20.0,20.0,0.0,0.0,23.999558505015532,13.666666666666666,1.3333333333333333,0.0,4,1
2019,4,RIC,20,10,10,2.3978952727983707,0.0,14.666666666666666,14.666666666666666,14.666666666666666,20.0,20.0,0.0,0.0,35.16913066770943,14.666666666666666,0.0,-5.0,4,1
2019,5,HAM,1,2,-1,1.0986122886681098,0.5,1.5,1.5,1.5,20.0,20.0,0.0,0.0,1.6479184330021646,1.3333333333333333,0.0,0.5,30,0
2019,5,BOT,2,1,1,0.6931471805599453,0.5,1.5,1.5,1.5,20.0,20.0,0.0,0.0,1.0397207708399179,1.6666666666666667,0.0,0.5,30,0
2019,5,VER,3,4,-1,1.6094379124341003,0.0,3.75,7.125,3.75,20.0,20.0,0.0,0.0,11.467245126092964,4.0,-3.375,0.75,30,0
2019,5,VET,4,3,1,1.3862943611198906,0.0,3.75,4.125,3.75,20.0,20.0,0.0,0.0,5.718464239619548,3.6666666666666665,-0.375,-1.0,30,0
2019,5,LEC,5,5,0,1.791759469228055,0.0,4.5,4.125,4.5,20.0,20.0,0.0,0.0,7.391007810565727,4.333333333333333,0.375,0.0,30,0
2019,5,GAS,6,6,0,1.9459101490553132,0.0,10.5,7.125,10.5,20.0,20.0,0.0,0.0,13.864609812019106,10.333333333333334,3.375,-1.5,30,0
2019,5,MAG,7,8,-1,2.1972245773362196,0.0,11.25,14.0,11.25,20.0,20.0,0.0,0.0,30.761144082707073,13.0,-2.75,-2.75,30,0
2019,5,SAI,8,12,-4,2.5649493574615367,0.0,15.0,13.0,15.0,20.0,20.0,0.0,0.0,33.34434164699998,13.333333333333334,2.0,-3.0,30,0
2019,5,KVY,9,9,0,2.302585092994046,0.0,15.0,13.0,15.0,20.0,20.0,0.0,0.0,29.933606208922598,16.666666666666668,2.0,-3.25,30,0
2019,5,GRO,10,7,3,2.0794415416798357,0.0,16.75,14.0,16.75,20.0,20.0,0.0,0.0,29.1121815835177,16.333333333333332,2.75,-6.5,30,0
2019,5,ALB,11,11,0,2.4849066497880004,0.0,11.0,13.0,11.0,20.0,20.0,0.0,0.0,32.30378644724401,10.0,-2.0,-2.0,30,0
2019,5,RIC,12,13,-1,2.6390573296152584,0.0,16.0,15.25,16.0,20.0,20.0,0.0,0.0,40.24562427663269,15.0,0.75,-6.25,30,0
